가구구분코드,가구원수,가구주_관계코드,가구주_성별코드,가구주_연령,가구주_학력코드,가구주_수학구분코드,가구주_취업여부,가구주_7차직업분류코드,가구주_종사상지위코드,입주형태코드,월세평가금액,전세보증금,월세사글세,소득구간코드,가계지출금액,가계지출_소비지출금액,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_오락문화_영상음향기기구입비,가계지출_소비지출_오락문화_사진광학장비구입비,가계지출_소비지출_오락문화_정보처리장치구입비,가계지출_소비지출_오락문화_기록매체구입비,가계지출_소비지출_오락문화_영상음향정보기기수리비,가계지출_소비지출_오락문화_내구재구입비,가계지출_소비지출_오락문화_악기기구구입비,가계지출_소비지출_오락문화_오락문화내구재유지수리비,가계지출_소비지출_오락문화_장난감취미용품구입비,가계지출_소비지출_오락문화_캠핑운동관련용품구입비,가계지출_소비지출_오락문화_화훼관련용품구입비,가계지출_소비지출_오락문화_애완동물관련물품구입비,가계지출_소비지출_오락문화_화훼애완동물서비스이용금액,가계지출_소비지출_오락문화_운동오락서비스이용금액,가계지출_소비지출_오락문화_문화서비스이용금액,가계지출_소비지출_오락문화_복권구입비,가계지출_소비지출_오락문화_서적구입비,가계지출_소비지출_오락문화_기타인쇄물구입비,가계지출_소비지출_오락문화_문구구입비,가계지출_소비지출_오락문화_단체여행경비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_음식숙박_식대,가계지출_소비지출_음식숙박_숙박비,가계지출_소비지출_기타상품서비스이용금액,도시읍면부구분코드,조사연도
1,1,1,1,26,5,1,1,8,1.0,6,380,3000,350,4,1960015,1655765,92045,78090,219450,418635,11350,50000,133350,90445,44750,0,0,0,0,0,0,0,0,0,0,0,0,0,33750,9500,0,0,0,1500,0,0,468150,460650,7500,49500,1,2019
1,1,1,1,26,5,4,1,7,1.0,6,463,20000,300,3,1236703,1052580,35263,2700,9498,377132,2175,1925,21725,73446,30805,0,0,0,0,0,0,0,0,0,0,0,0,0,14250,16555,0,0,0,0,0,0,453635,453635,0,44278,1,2019
1,1,1,1,26,6,1,1,2,1.0,6,280,1000,270,3,1427111,1241011,40437,57750,61900,307192,16590,1583,215733,50454,17682,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,12432,0,0,0,250,0,0,436873,436873,0,34817,1,2019
1,1,1,1,26,6,1,1,2,1.0,6,314,2000,300,3,1346338,1136302,67537,42618,26873,362534,12247,13394,31354,74614,267659,20000,0,192796,1444,0,0,0,0,333,0,1111,1347,4278,10867,17316,5444,10967,0,1756,0,0,210311,207611,2700,27160,1,2019
1,1,1,1,26,6,1,1,2,1.0,6,454,10000,420,3,1962435,1748515,38255,83250,66200,503010,9000,20050,359450,36753,63148,0,0,0,0,0,0,0,0,0,0,0,0,0,48650,6998,0,7500,0,0,0,0,550900,550900,0,18500,1,2019
1,1,1,1,26,6,1,1,3,1.0,6,360,2000,360,3,1586304,1273538,105250,9846,34375,442809,68216,0,103088,35750,68450,3750,0,0,0,0,0,0,0,18750,0,0,0,0,1250,44700,0,0,0,0,0,0,333175,333175,0,72579,1,2019
1,1,1,1,26,6,1,1,3,1.0,7,300,0,300,3,2422108,2259834,196388,14284,84052,338510,42184,275658,363896,225294,64994,0,0,4160,0,0,0,0,0,30180,0,0,0,0,1400,16182,0,4572,0,8500,0,0,616914,616914,0,37660,1,2019
1,1,1,1,26,6,1,1,4,1.0,6,205,1000,200,3,1870761,1631788,125838,38287,28442,251247,0,66600,186532,65021,65406,0,0,8840,0,0,0,0,0,0,6233,0,0,0,42250,8083,0,0,0,0,0,0,744150,704650,39500,60265,1,2019
1,1,1,1,26,6,1,1,8,1.0,6,327,2000,320,3,1539655,1272405,91835,2440,122306,429145,4500,19360,15850,79920,36820,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,26570,0,8750,0,500,0,0,403075,403075,0,67154,1,2019
1,1,1,1,26,6,1,1,9,3.0,6,380,5000,350,2,2210080,1912650,166000,67500,0,427500,18300,3500,166600,501000,105500,0,0,0,0,0,0,0,0,0,0,0,0,0,62000,43500,0,0,0,0,0,0,336750,336750,0,120000,1,2019
1,1,1,1,26,7,2,1,2,2.0,6,300,5000,240,1,1300260,1190410,62020,0,29450,311725,29950,0,196312,0,63675,0,0,0,0,0,0,0,0,0,0,0,0,0,53450,10225,0,0,0,0,0,0,478978,322135,156843,18300,1,2019
1,1,1,1,27,4,1,1,3,1.0,6,324,2000,310,2,1976336,1847468,28990,109365,72411,409088,3875,18050,376009,41380,281826,0,0,0,0,52500,0,0,0,0,0,0,13750,0,156925,58651,0,0,0,0,0,0,496875,486875,10000,9600,1,2019
1,1,1,1,27,4,1,1,4,2.0,6,270,1000,270,3,1411044,1371767,81060,51109,81056,353604,22034,12963,196411,50198,155422,0,0,0,0,0,0,0,0,0,6667,0,0,0,121289,27189,278,0,0,0,0,0,342728,293839,48889,25181,1,2019
1,1,1,1,27,5,1,1,2,2.0,6,538,5000,520,3,1849033,1637313,29456,0,80606,627744,27810,1680,260090,158662,17700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,0,11400,0,600,0,0,369940,369940,0,63625,1,2019
